#  X_0 = X0p615836; Z_0 = Z0p014164
#  Age    M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    J-K    H-K    V-K
#  age(Gyr)= 0.001
   0.0600 4.8502282  3.6691  2.9819  1.7682 -2.279  1.047  1.125  0.563  1.067  0.704  0.108  2.500
   0.0600 4.8503807  3.6624  3.0230  1.7002 -2.342  1.116  1.163  0.583  1.101  0.727  0.112  2.583
   0.0600 4.8505462  3.6561  3.0705  1.6276 -2.419  1.178  1.199  0.601  1.133  0.750  0.115  2.664
   0.0600 4.8507330  3.6501  3.1221  1.5521 -2.506  1.237  1.232  0.619  1.166  0.771  0.119  2.742
   0.0600 4.8510690  3.6441  3.1729  1.4772 -2.588  1.297  1.268  0.639  1.202  0.792  0.123  2.824
 
#  age(Gyr)= 0.080
   0.0800 0.1688196  3.5122 -2.1823  4.8467 12.321  1.146  1.589  1.121  2.572  0.905  0.230  4.782
   0.0800 0.1880925  3.5158 -2.1164  4.8421 12.105  1.148  1.582  1.110  2.533  0.904  0.226  4.725
   0.0800 0.2088838  3.5197 -2.0518  4.8383 11.886  1.151  1.574  1.097  2.485  0.903  0.222  4.655
   0.0800 0.2313307  3.5236 -1.9879  4.8345 11.667  1.156  1.564  1.084  2.440  0.902  0.218  4.589
   0.0800 0.2557306  3.5278 -1.9258  4.8328 11.446  1.162  1.554  1.070  2.390  0.900  0.214  4.514
   0.0800 0.2783899  3.5321 -1.8648  4.8260 11.223  1.171  1.544  1.055  2.336  0.898  0.209  4.434
   0.0800 0.3002969  3.5369 -1.8070  4.8202 11.003  1.182  1.533  1.039  2.276  0.896  0.204  4.347
   0.0800 0.3209149  3.5419 -1.7518  4.8139 10.781  1.195  1.519  1.022  2.212  0.893  0.198  4.251
   0.0800 0.3418806  3.5469 -1.6957  4.8053 10.552  1.210  1.504  1.003  2.144  0.890  0.192  4.148
   0.0800 0.3599473  3.5523 -1.6440  4.7976 10.336  1.226  1.489  0.985  2.077  0.886  0.186  4.048
   0.0800 0.3775671  3.5577 -1.5921  4.7881 10.136  1.241  1.476  0.969  2.022  0.883  0.181  3.966
   0.0800 0.3935295  3.5633 -1.5421  4.7785  9.933  1.257  1.463  0.951  1.962  0.879  0.175  3.875
   0.0800 0.4082477  3.5691 -1.4934  4.7685  9.727  1.274  1.447  0.930  1.897  0.873  0.170  3.776
   0.0800 0.4219236  3.5748 -1.4456  4.7582  9.521  1.290  1.430  0.907  1.831  0.866  0.164  3.675
   0.0800 0.4359687  3.5806 -1.3975  4.7473  9.319  1.302  1.412  0.884  1.767  0.858  0.158  3.579
   0.0800 0.4483304  3.5865 -1.3513  4.7370  9.131  1.309  1.394  0.861  1.707  0.848  0.153  3.486
   0.0800 0.4592197  3.5926 -1.3071  4.7275  8.964  1.310  1.375  0.839  1.652  0.839  0.149  3.400
   0.0800 0.4696867  3.5987 -1.2636  4.7183  8.815  1.306  1.356  0.819  1.602  0.829  0.145  3.321
   0.0800 0.4796847  3.6049 -1.2213  4.7098  8.676  1.298  1.337  0.800  1.556  0.819  0.141  3.247
   0.0800 0.4888244  3.6112 -1.1810  4.7031  8.547  1.286  1.319  0.782  1.514  0.809  0.137  3.179
   0.0800 0.4975859  3.6177 -1.1425  4.6981  8.422  1.272  1.301  0.766  1.475  0.799  0.133  3.114
   0.0800 0.5061683  3.6242 -1.1059  4.6951  8.298  1.256  1.282  0.750  1.437  0.789  0.130  3.052
   0.0800 0.5152136  3.6309 -1.0707  4.6941  8.173  1.235  1.261  0.732  1.398  0.777  0.127  2.985
   0.0800 0.5248421  3.6376 -1.0373  4.6957  8.044  1.206  1.236  0.713  1.354  0.764  0.123  2.910
   0.0800 0.5377323  3.6444 -1.0058  4.7020  7.913  1.169  1.207  0.692  1.306  0.748  0.119  2.825
   0.0800 0.5653362  3.6508 -0.9670  4.7106  7.767  1.128  1.178  0.670  1.260  0.731  0.115  2.744
   0.0800 0.5844080  3.6572 -0.9272  4.7107  7.621  1.084  1.148  0.650  1.217  0.714  0.111  2.664
   0.0800 0.5955010  3.6637 -0.8889  4.7064  7.481  1.036  1.117  0.630  1.172  0.696  0.108  2.583
   0.0800 0.6059106  3.6701 -0.8505  4.7014  7.341  0.982  1.086  0.610  1.131  0.677  0.104  2.504
   0.0800 0.6168948  3.6765 -0.8117  4.6960  7.203  0.925  1.054  0.590  1.091  0.657  0.100  2.426
   0.0800 0.6284792  3.6829 -0.7723  4.6903  7.065  0.865  1.022  0.570  1.052  0.636  0.098  2.349
   0.0800 0.6405499  3.6893 -0.7333  4.6852  6.932  0.801  0.991  0.551  1.015  0.616  0.094  2.273
   0.0800 0.6520553  3.6959 -0.6973  4.6832  6.807  0.734  0.958  0.533  0.979  0.594  0.091  2.195
   0.0800 0.6642828  3.7024 -0.6597  4.6798  6.681  0.669  0.926  0.514  0.945  0.573  0.087  2.122
   0.0800 0.6781636  3.7087 -0.6183  4.6724  6.549  0.608  0.896  0.497  0.914  0.553  0.085  2.053
   0.0800 0.6920789  3.7150 -0.5772  4.6652  6.420  0.549  0.865  0.480  0.884  0.534  0.082  1.985
   0.0800 0.7063643  3.7212 -0.5358  4.6578  6.292  0.494  0.836  0.464  0.856  0.515  0.079  1.920
   0.0800 0.7211368  3.7275 -0.4940  4.6499  6.165  0.443  0.809  0.449  0.829  0.497  0.076  1.858
   0.0800 0.7363825  3.7337 -0.4517  4.6415  6.040  0.394  0.781  0.434  0.803  0.480  0.074  1.797
   0.0800 0.7521044  3.7398 -0.4089  4.6325  5.914  0.350  0.754  0.420  0.779  0.463  0.072  1.739
   0.0800 0.7682974  3.7460 -0.3655  4.6229  5.790  0.311  0.728  0.406  0.755  0.446  0.069  1.682
   0.0800 0.7849535  3.7520 -0.3215  4.6125  5.665  0.275  0.702  0.392  0.733  0.430  0.066  1.627
   0.0800 0.8021239  3.7581 -0.2768  4.6013  5.539  0.243  0.678  0.379  0.710  0.414  0.064  1.573
   0.0800 0.8199146  3.7640 -0.2314  4.5893  5.414  0.213  0.654  0.366  0.689  0.398  0.062  1.521
   0.0800 0.8385073  3.7699 -0.1849  4.5762  5.287  0.187  0.630  0.354  0.668  0.384  0.060  1.471
   0.0800 0.8579469  3.7758 -0.1375  4.5620  5.158  0.164  0.606  0.342  0.648  0.369  0.057  1.421
   0.0800 0.8782708  3.7815 -0.0889  4.5465  5.028  0.144  0.583  0.331  0.628  0.355  0.055  1.372
   0.0800 0.8994332  3.7871 -0.0395  4.5300  4.896  0.126  0.561  0.320  0.608  0.341  0.053  1.325
   0.0800 0.9215617  3.7927  0.0111  4.5121  4.762  0.110  0.539  0.309  0.588  0.328  0.051  1.279
   0.0800 0.9446018  3.7981  0.0626  4.4932  4.627  0.096  0.518  0.299  0.570  0.315  0.049  1.234
   0.0800 0.9684898  3.8035  0.1148  4.4735  4.491  0.086  0.497  0.288  0.552  0.301  0.046  1.190
   0.0800 0.9932887  3.8089  0.1674  4.4532  4.354  0.077  0.476  0.278  0.533  0.288  0.044  1.146
   0.0800 1.0185390  3.8143  0.2195  4.4336  4.220  0.069  0.455  0.268  0.514  0.276  0.042  1.102
   0.0800 1.0443041  3.8197  0.2712  4.4146  4.086  0.064  0.434  0.257  0.495  0.263  0.040  1.058
   0.0800 1.0705393  3.8253  0.3221  4.3966  3.954  0.062  0.413  0.247  0.475  0.251  0.038  1.013
   0.0800 1.0971044  3.8309  0.3720  4.3798  3.824  0.061  0.392  0.235  0.454  0.238  0.035  0.967
   0.0800 1.1237022  3.8366  0.4204  4.3647  3.699  0.061  0.370  0.224  0.433  0.225  0.033  0.920
   0.0800 1.1501492  3.8425  0.4672  4.3515  3.578  0.063  0.348  0.212  0.410  0.213  0.031  0.872
   0.0800 1.1762965  3.8485  0.5119  4.3407  3.462  0.064  0.326  0.201  0.388  0.200  0.029  0.825
   0.0800 1.2015015  3.8547  0.5537  4.3329  3.354  0.066  0.305  0.189  0.367  0.188  0.027  0.778
   0.0800 1.2252691  3.8612  0.5921  4.3290  3.255  0.068  0.284  0.177  0.345  0.175  0.025  0.730
   0.0800 1.2480312  3.8678  0.6278  4.3276  3.163  0.071  0.263  0.164  0.321  0.163  0.023  0.681
   0.0800 1.2697038  3.8745  0.6610  4.3289  3.078  0.071  0.239  0.150  0.296  0.149  0.021  0.626
   0.0800 1.2908307  3.8813  0.6925  4.3318  2.998  0.071  0.214  0.135  0.269  0.134  0.019  0.568
   0.0800 1.3125444  3.8882  0.7241  4.3346  2.919  0.072  0.189  0.121  0.241  0.119  0.016  0.510
   0.0800 1.3346495  3.8950  0.7556  4.3376  2.842  0.069  0.165  0.107  0.213  0.106  0.014  0.453
   0.0800 1.3574633  3.9018  0.7873  4.3405  2.766  0.062  0.144  0.094  0.189  0.093  0.013  0.400
   0.0800 1.3811459  3.9086  0.8195  4.3430  2.691  0.053  0.125  0.083  0.166  0.081  0.011  0.350
   0.0800 1.4056391  3.9153  0.8519  4.3453  2.617  0.043  0.106  0.072  0.143  0.069  0.009  0.302
   0.0800 1.4310420  3.9221  0.8848  4.3472  2.544  0.032  0.089  0.063  0.123  0.059  0.007  0.259
   0.0800 1.4574507  3.9288  0.9181  4.3487  2.472  0.020  0.074  0.055  0.105  0.050  0.006  0.222
   0.0800 1.4849680  3.9355  0.9519  4.3498  2.400  0.010  0.062  0.048  0.091  0.042  0.006  0.189
   0.0800 1.5135274  3.9422  0.9862  4.3505  2.330 -0.001  0.050  0.041  0.077  0.035  0.005  0.160
   0.0800 1.5431977  3.9488  1.0210  4.3508  2.261 -0.012  0.039  0.036  0.064  0.029  0.004  0.132
   0.0800 1.5734757  3.9555  1.0558  4.3510  2.194 -0.023  0.028  0.031  0.049  0.022  0.002  0.105
   0.0800 1.6048482  3.9621  1.0911  4.3508  2.128 -0.033  0.018  0.026  0.036  0.016  0.001  0.081
   0.0800 1.6379208  3.9687  1.1272  4.3498  2.060 -0.043  0.009  0.022  0.024  0.011  0.000  0.059
   0.0800 1.6722839  3.9752  1.1639  4.3484  1.992 -0.052 -0.000  0.018  0.013  0.006 -0.001  0.039
   0.0800 1.7078409  3.9818  1.2010  4.3465  1.924 -0.061 -0.009  0.015  0.003  0.002 -0.001  0.021
   0.0800 1.7444463  3.9883  1.2384  4.3443  1.856 -0.071 -0.017  0.011 -0.006 -0.002 -0.001  0.004
   0.0800 1.7812646  3.9948  1.2754  4.3426  1.790 -0.081 -0.024  0.007 -0.015 -0.006 -0.001 -0.012
   0.0800 1.8193533  4.0013  1.3128  4.3403  1.724 -0.093 -0.032  0.004 -0.024 -0.010 -0.002 -0.028
   0.0800 1.8598007  4.0078  1.3515  4.3370  1.656 -0.107 -0.039  0.000 -0.033 -0.013 -0.002 -0.042
   0.0800 1.9013594  4.0142  1.3904  4.3334  1.588 -0.122 -0.045 -0.003 -0.041 -0.016 -0.002 -0.057
   0.0800 1.9431160  4.0206  1.4289  4.3301  1.523 -0.140 -0.051 -0.006 -0.049 -0.020 -0.003 -0.071
   0.0800 1.9859961  4.0271  1.4675  4.3267  1.457 -0.161 -0.057 -0.008 -0.057 -0.023 -0.004 -0.085
   0.0800 2.0307603  4.0334  1.5070  4.3225  1.391 -0.185 -0.062 -0.011 -0.065 -0.026 -0.005 -0.098
   0.0800 2.0773266  4.0398  1.5470  4.3176  1.324 -0.204 -0.067 -0.014 -0.073 -0.029 -0.006 -0.112
   0.0800 2.1251164  4.0461  1.5874  4.3125  1.257 -0.222 -0.072 -0.016 -0.080 -0.032 -0.006 -0.124
   0.0800 2.1742349  4.0524  1.6279  4.3072  1.191 -0.240 -0.077 -0.019 -0.087 -0.035 -0.007 -0.137
   0.0800 2.2244450  4.0588  1.6686  4.3017  1.126 -0.256 -0.082 -0.021 -0.094 -0.038 -0.007 -0.150
   0.0800 2.2758802  4.0651  1.7094  4.2959  1.062 -0.271 -0.087 -0.024 -0.100 -0.041 -0.007 -0.163
   0.0800 2.3290951  4.0713  1.7508  4.2897  0.997 -0.284 -0.092 -0.026 -0.107 -0.044 -0.008 -0.175
   0.0800 2.3841042  4.0776  1.7926  4.2830  0.933 -0.295 -0.097 -0.028 -0.113 -0.047 -0.008 -0.187
   0.0800 2.4405322  4.0838  1.8347  4.2759  0.869 -0.303 -0.102 -0.030 -0.119 -0.050 -0.008 -0.200
   0.0800 2.4984412  4.0900  1.8770  4.2685  0.804 -0.317 -0.107 -0.033 -0.125 -0.053 -0.008 -0.212
   0.0800 2.5582480  4.0961  1.9200  4.2604  0.738 -0.332 -0.111 -0.035 -0.131 -0.056 -0.009 -0.224
   0.0800 2.6197706  4.1023  1.9634  4.2519  0.672 -0.348 -0.116 -0.037 -0.137 -0.059 -0.009 -0.236
   0.0800 2.6830080  4.1083  2.0071  4.2429  0.606 -0.364 -0.120 -0.039 -0.142 -0.061 -0.010 -0.248
   0.0800 2.7481576  4.1144  2.0515  4.2332  0.538 -0.381 -0.125 -0.041 -0.148 -0.064 -0.010 -0.260
   0.0800 2.8155975  4.1204  2.0965  4.2227  0.469 -0.398 -0.129 -0.044 -0.153 -0.067 -0.011 -0.272
   0.0800 2.8856498  4.1263  2.1425  4.2111  0.397 -0.417 -0.134 -0.046 -0.159 -0.069 -0.011 -0.283
   0.0800 2.9579180  4.1322  2.1892  4.1987  0.324 -0.437 -0.138 -0.048 -0.164 -0.072 -0.012 -0.295
   0.0800 3.0326932  4.1380  2.2368  4.1852  0.249 -0.455 -0.142 -0.050 -0.169 -0.074 -0.012 -0.306
   0.0800 3.1106216  4.1437  2.2856  4.1702  0.171 -0.471 -0.146 -0.052 -0.175 -0.077 -0.013 -0.318
   0.0800 3.1919787  4.1493  2.3359  4.1534  0.090 -0.487 -0.150 -0.054 -0.180 -0.080 -0.013 -0.330
   0.0800 3.2770664  4.1547  2.3879  4.1345  0.005 -0.502 -0.154 -0.056 -0.186 -0.083 -0.013 -0.342
   0.0800 3.3669700  4.1599  2.4421  4.1128 -0.088 -0.516 -0.158 -0.058 -0.191 -0.085 -0.014 -0.353
   0.0800 3.4627522  4.1648  2.4993  4.0872 -0.191 -0.528 -0.161 -0.060 -0.196 -0.088 -0.014 -0.364
   0.0800 3.5656987  4.1691  2.5603  4.0564 -0.307 -0.540 -0.164 -0.061 -0.201 -0.090 -0.014 -0.374
   0.0800 3.6769363  4.1728  2.6259  4.0188 -0.441 -0.549 -0.167 -0.062 -0.205 -0.092 -0.015 -0.382
   0.0800 3.7980261  4.1751  2.6971  3.9708 -0.619 -0.557 -0.167 -0.062 -0.205 -0.092 -0.015 -0.383
   0.0800 3.9244851  4.1749  2.7717  3.9098 -0.845 -0.561 -0.164 -0.060 -0.199 -0.090 -0.014 -0.373
   0.0800 4.0410313  4.1721  2.8411  3.8420 -1.080 -0.558 -0.158 -0.057 -0.191 -0.086 -0.014 -0.357
   0.0800 4.1413006  4.1679  2.9030  3.7737 -1.304 -0.553 -0.152 -0.054 -0.181 -0.082 -0.013 -0.339
   0.0800 4.2227641  4.1697  2.9612  3.7312 -1.457 -0.560 -0.151 -0.054 -0.180 -0.081 -0.013 -0.337
   0.0800 4.2407331  4.1769  2.9804  3.7428 -1.444 -0.577 -0.157 -0.056 -0.188 -0.085 -0.014 -0.353
   0.0800 4.2479998  4.1843  2.9926  3.7609 -1.407 -0.594 -0.163 -0.059 -0.197 -0.089 -0.014 -0.371
   0.0800 4.2518715  4.1918  3.0032  3.7805 -1.363 -0.609 -0.169 -0.062 -0.206 -0.094 -0.015 -0.390
   0.0800 4.2541820  4.1992  3.0138  3.7999 -1.318 -0.625 -0.175 -0.064 -0.216 -0.098 -0.015 -0.410
   0.0800 4.2556688  4.2066  3.0251  3.8183 -1.278 -0.640 -0.180 -0.068 -0.224 -0.103 -0.016 -0.430
   0.0800 4.2566928  4.2140  3.0383  3.8349 -1.246 -0.655 -0.186 -0.071 -0.232 -0.107 -0.017 -0.449
   0.0800 4.2578076  4.2181  3.0438  3.8459 -1.223 -0.664 -0.189 -0.072 -0.237 -0.110 -0.017 -0.460
   0.0800 4.2581887  4.2107  3.0333  3.8268 -1.263 -0.649 -0.183 -0.069 -0.229 -0.105 -0.016 -0.440
   0.0800 4.2585975  4.2032  3.0379  3.7923 -1.352 -0.634 -0.177 -0.065 -0.219 -0.100 -0.016 -0.418
   0.0800 4.2591328  4.1959  3.0547  3.7463 -1.479 -0.621 -0.170 -0.062 -0.208 -0.095 -0.015 -0.394
   0.0800 4.2598396  4.1886  3.0718  3.7000 -1.607 -0.608 -0.162 -0.058 -0.196 -0.089 -0.014 -0.371
   0.0800 4.2607325  4.1812  3.0838  3.6585 -1.714 -0.594 -0.156 -0.055 -0.185 -0.085 -0.014 -0.350
   0.0800 4.2618112  4.1737  3.0922  3.6204 -1.808 -0.578 -0.149 -0.052 -0.176 -0.080 -0.013 -0.331
   0.0800 4.2630335  4.1663  3.0985  3.5843 -1.893 -0.563 -0.142 -0.049 -0.167 -0.076 -0.012 -0.312
   0.0800 4.2643215  4.1588  3.1033  3.5496 -1.971 -0.546 -0.136 -0.046 -0.159 -0.072 -0.012 -0.294
   0.0800 4.2656030  4.1513  3.1071  3.5159 -2.043 -0.530 -0.130 -0.043 -0.152 -0.068 -0.011 -0.277
   0.0800 4.2668264  4.1438  3.1101  3.4831 -2.111 -0.515 -0.124 -0.040 -0.144 -0.064 -0.010 -0.260
   0.0800 4.2679644  4.1363  3.1124  3.4509 -2.174 -0.502 -0.119 -0.037 -0.137 -0.060 -0.009 -0.243
   0.0800 4.2690087  4.1288  3.1141  3.4192 -2.235 -0.489 -0.113 -0.034 -0.130 -0.056 -0.009 -0.227
   0.0800 4.2699572  4.1213  3.1153  3.3882 -2.292 -0.477 -0.108 -0.032 -0.122 -0.052 -0.008 -0.210
   0.0800 4.2708166  4.1138  3.1159  3.3576 -2.347 -0.467 -0.103 -0.029 -0.115 -0.048 -0.008 -0.194
   0.0800 4.2715948  4.1062  3.1161  3.3274 -2.399 -0.458 -0.098 -0.027 -0.108 -0.044 -0.008 -0.177
   0.0800 4.2723016  4.0987  3.1159  3.2977 -2.447 -0.446 -0.092 -0.024 -0.100 -0.040 -0.007 -0.161
   0.0800 4.2729432  4.0912  3.1153  3.2683 -2.493 -0.434 -0.087 -0.021 -0.092 -0.036 -0.007 -0.144
   0.0800 4.2735278  4.0837  3.1144  3.2393 -2.535 -0.420 -0.081 -0.019 -0.084 -0.033 -0.006 -0.128
   0.0800 4.2740616  4.0762  3.1131  3.2106 -2.573 -0.406 -0.076 -0.016 -0.076 -0.029 -0.005 -0.112
   0.0800 4.2745512  4.0687  3.1115  3.1822 -2.609 -0.390 -0.070 -0.013 -0.068 -0.025 -0.005 -0.097
   0.0800 4.2750006  4.0612  3.1096  3.1541 -2.642 -0.369 -0.064 -0.010 -0.060 -0.022 -0.004 -0.082
   0.0800 4.2754147  4.0537  3.1075  3.1263 -2.673 -0.353 -0.058 -0.008 -0.051 -0.019 -0.003 -0.066
   0.0800 4.2757976  4.0462  3.1050  3.0988 -2.700 -0.340 -0.053 -0.005 -0.043 -0.015 -0.002 -0.051
   0.0800 4.2761523  4.0387  3.1024  3.0715 -2.725 -0.329 -0.047 -0.002 -0.035 -0.011 -0.002 -0.035
   0.0800 4.2764812  4.0312  3.0995  3.0444 -2.747 -0.321 -0.042  0.001 -0.027 -0.008 -0.002 -0.019
   0.0800 4.2767876  4.0237  3.0964  3.0175 -2.767 -0.312 -0.036  0.003 -0.020 -0.004 -0.001 -0.004
   0.0800 4.2770731  4.0162  3.0930  2.9909 -2.785 -0.303 -0.033  0.006 -0.014 -0.000 -0.001  0.012
   0.0800 4.2773402  4.0087  3.0895  2.9645 -2.800 -0.294 -0.029  0.008 -0.007  0.003 -0.001  0.027
   0.0800 4.2775906  4.0012  3.0858  2.9382 -2.814 -0.284 -0.023  0.010 -0.000  0.007 -0.001  0.042
   0.0800 4.2778259  3.9937  3.0818  2.9122 -2.826 -0.271 -0.018  0.013  0.008  0.011 -0.000  0.058
   0.0800 4.2780454  3.9862  3.0778  2.8863 -2.836 -0.257 -0.011  0.015  0.015  0.015  0.001  0.074
   0.0800 4.2782523  3.9787  3.0735  2.8606 -2.845 -0.241 -0.004  0.018  0.024  0.019  0.001  0.090
   0.0800 4.2784478  3.9712  3.0691  2.8351 -2.851 -0.227  0.005  0.022  0.035  0.023  0.003  0.109
   0.0800 4.2786329  3.9637  3.0645  2.8097 -2.857 -0.212  0.016  0.027  0.047  0.028  0.004  0.129
   0.0800 4.2788081  3.9562  3.0598  2.7845 -2.861 -0.187  0.023  0.030  0.055  0.032  0.005  0.146
   0.0800 4.2789746  3.9487  3.0548  2.7594 -2.865 -0.156  0.028  0.032  0.062  0.036  0.006  0.163
   0.0800 4.2791331  3.9412  3.0498  2.7346 -2.868 -0.122  0.032  0.035  0.068  0.040  0.006  0.181
   0.0800 4.2792838  3.9338  3.0445  2.7099 -2.869 -0.086  0.036  0.038  0.076  0.045  0.006  0.200
   0.0800 4.2794272  3.9263  3.0392  2.6853 -2.868 -0.049  0.041  0.041  0.084  0.051  0.006  0.222
   0.0800 4.2795637  3.9188  3.0337  2.6609 -2.867 -0.018  0.050  0.046  0.096  0.057  0.007  0.248
   0.0800 4.2796953  3.9113  3.0280  2.6366 -2.864  0.007  0.063  0.054  0.113  0.064  0.008  0.280
   0.0800 4.2798205  3.9038  3.0222  2.6125 -2.860  0.027  0.080  0.063  0.132  0.072  0.010  0.316
   0.0800 4.2799395  3.8963  3.0163  2.5885 -2.854  0.042  0.099  0.074  0.155  0.082  0.012  0.357
   0.0800 4.2800531  3.8888  3.0103  2.5646 -2.846  0.050  0.120  0.085  0.179  0.094  0.013  0.403
   0.0800 4.2801617  3.8814  3.0041  2.5408 -2.835  0.054  0.143  0.097  0.205  0.107  0.014  0.453
   0.0800 4.2802656  3.8739  2.9979  2.5171 -2.822  0.061  0.169  0.111  0.233  0.119  0.016  0.506
   0.0800 4.2803650  3.8664  2.9916  2.4935 -2.806  0.063  0.196  0.125  0.263  0.132  0.018  0.562
   0.0800 4.2804602  3.8589  2.9852  2.4700 -2.788  0.052  0.223  0.140  0.292  0.147  0.021  0.620
   0.0800 4.2805510  3.8514  2.9787  2.4466 -2.769  0.040  0.250  0.156  0.321  0.163  0.023  0.680
   0.0800 4.2806379  3.8440  2.9722  2.4232 -2.749  0.029  0.275  0.170  0.351  0.178  0.026  0.740
   0.0800 4.2807213  3.8365  2.9656  2.3999 -2.725  0.019  0.301  0.186  0.381  0.195  0.028  0.802
   0.0800 4.2808015  3.8290  2.9589  2.3766 -2.699  0.009  0.328  0.202  0.411  0.212  0.031  0.867
   0.0800 4.2808784  3.8215  2.9522  2.3535 -2.673 -0.003  0.356  0.218  0.444  0.230  0.034  0.933
   0.0800 4.2809524  3.8141  2.9454  2.3304 -2.645 -0.011  0.385  0.233  0.476  0.249  0.037  1.001
   0.0800 4.2810237  3.8066  2.9385  2.3073 -2.616 -0.014  0.416  0.248  0.507  0.269  0.041  1.069
   0.0800 4.2810920  3.7991  2.9316  2.2843 -2.586 -0.012  0.448  0.262  0.539  0.290  0.045  1.139
   0.0800 4.2811580  3.7916  2.9247  2.2614 -2.556 -0.003  0.480  0.277  0.569  0.311  0.048  1.209
   0.0800 4.2812229  3.7842  2.9175  2.2387 -2.524  0.013  0.514  0.291  0.599  0.332  0.052  1.279
   0.0800 4.2812848  3.7767  2.9104  2.2159 -2.493  0.037  0.549  0.305  0.627  0.354  0.055  1.350
   0.0800 4.2813441  3.7692  2.9034  2.1930 -2.460  0.070  0.586  0.321  0.656  0.376  0.059  1.421
   0.0800 4.2814038  3.7617  2.8959  2.1707 -2.425  0.109  0.623  0.337  0.684  0.398  0.063  1.493
   0.0800 4.2814695  3.7543  2.8869  2.1498 -2.386  0.156  0.660  0.352  0.712  0.421  0.066  1.565
   0.0800 4.2815395  3.7468  2.8770  2.1300 -2.341  0.213  0.699  0.368  0.740  0.444  0.069  1.639
   0.0800 4.2816151  3.7394  2.8658  2.1115 -2.292  0.277  0.739  0.385  0.768  0.467  0.073  1.715
   0.0800 4.2817015  3.7320  2.8519  2.0959 -2.235  0.345  0.779  0.402  0.797  0.491  0.076  1.791
   0.0800 4.2818075  3.7248  2.8332  2.0855 -2.163  0.417  0.818  0.418  0.825  0.513  0.079  1.866
   0.0800 4.2819313  3.7176  2.8107  2.0794 -2.082  0.494  0.857  0.435  0.853  0.537  0.083  1.941
   0.0800 4.2820640  3.7106  2.7843  2.0777 -1.987  0.573  0.895  0.453  0.882  0.560  0.086  2.018
   0.0800 4.2822075  3.7035  2.7607  2.0729 -1.898  0.657  0.935  0.471  0.912  0.583  0.090  2.096
   0.0800 4.2823696  3.6961  2.7496  2.0543 -1.837  0.745  0.976  0.490  0.943  0.609  0.094  2.179
   0.0800 4.2825453  3.6886  2.7465  2.0275 -1.793  0.835  1.017  0.509  0.977  0.634  0.098  2.266
   0.0800 4.2827211  3.6814  2.7681  1.9773 -1.811  0.916  1.056  0.529  1.009  0.658  0.101  2.349
   0.0800 4.2829086  3.6746  2.7986  1.9194 -1.851  0.992  1.093  0.548  1.041  0.683  0.105  2.432
   0.0800 4.2830982  3.6685  2.8425  1.8512 -1.926  1.056  1.127  0.565  1.071  0.705  0.108  2.507
   0.0800 4.2833101  3.6627  2.8907  1.7800 -2.012  1.114  1.159  0.582  1.099  0.725  0.111  2.578
   0.0800 4.2836305  3.6572  2.9410  1.7074 -2.102  1.169  1.191  0.599  1.128  0.745  0.115  2.649
   0.0800 4.2841468  3.6516  2.9915  1.6348 -2.190  1.224  1.222  0.615  1.158  0.765  0.118  2.722
 
#  age(Gyr)= 0.100
   0.1000 0.1671405  3.5124 -2.2460  4.9067 12.479  1.139  1.588  1.122  2.577  0.901  0.229  4.779
   0.1000 0.1856797  3.5156 -2.1815  4.9009 12.272  1.141  1.582  1.112  2.541  0.901  0.226  4.728
   0.1000 0.2056954  3.5191 -2.1181  4.8955 12.062  1.142  1.574  1.100  2.498  0.901  0.223  4.665
   0.1000 0.2271700  3.5226 -2.0553  4.8901 11.853  1.145  1.566  1.089  2.457  0.900  0.219  4.605
   0.1000 0.2489952  3.5265 -1.9947  4.8849 11.641  1.150  1.556  1.076  2.411  0.898  0.215  4.537
   0.1000 0.2703619  3.5306 -1.9358  4.8782 11.427  1.158  1.547  1.061  2.360  0.897  0.211  4.461
   0.1000 0.2912346  3.5349 -1.8783  4.8702 11.215  1.166  1.537  1.047  2.306  0.895  0.206  4.383
   0.1000 0.3105147  3.5396 -1.8236  4.8620 11.002  1.178  1.524  1.031  2.248  0.892  0.201  4.296
   0.1000 0.3285727  3.5445 -1.7708  4.8534 10.783  1.191  1.510  1.013  2.181  0.889  0.195  4.197
   0.1000 0.3458086  3.5494 -1.7181  4.8425 10.567  1.206  1.496  0.995  2.115  0.886  0.189  4.099
   0.1000 0.3612919  3.5546 -1.6687  4.8331 10.367  1.221  1.482  0.979  2.056  0.883  0.184  4.010
   0.1000 0.3758069  3.5599 -1.6195  4.8221 10.175  1.236  1.470  0.963  2.003  0.880  0.179  3.930
   0.1000 0.3893690  3.5653 -1.5718  4.8114  9.978  1.253  1.456  0.945  1.942  0.876  0.173  3.839
   0.1000 0.4018539  3.5708 -1.5254  4.8008  9.779  1.269  1.440  0.924  1.878  0.870  0.168  3.743
   0.1000 0.4134745  3.5764 -1.4802  4.7904  9.583  1.284  1.423  0.901  1.814  0.863  0.162  3.645
   0.1000 0.4253069  3.5820 -1.4350  4.7799  9.394  1.295  1.406  0.879  1.754  0.855  0.157  3.554
   0.1000 0.4374644  3.5877 -1.3900  4.7696  9.215  1.301  1.388  0.857  1.698  0.845  0.152  3.467
   0.1000 0.4485148  3.5934 -1.3466  4.7601  9.057  1.302  1.371  0.837  1.647  0.836  0.148  3.387
